Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-03-04,Uttar Pradesh,7,0,0,0,
2020-03-05,Uttar Pradesh,8,0,0,0,
2020-03-06,Uttar Pradesh,8,0,0,0,
2020-03-07,Uttar Pradesh,8,0,0,0,
2020-03-08,Uttar Pradesh,8,0,0,0,
2020-03-09,Uttar Pradesh,10,0,0,0,
2020-03-10,Uttar Pradesh,10,0,0,0,
2020-03-11,Uttar Pradesh,10,0,0,0,
2020-03-12,Uttar Pradesh,12,0,0,0,
2020-03-13,Uttar Pradesh,13,0,0,0,
2020-03-14,Uttar Pradesh,13,0,0,0,
2020-03-15,Uttar Pradesh,13,0,0,0,
2020-03-16,Uttar Pradesh,13,0,0,0,
2020-03-17,Uttar Pradesh,15,0,0,0,
2020-03-18,Uttar Pradesh,17,0,0,0,
2020-03-19,Uttar Pradesh,20,0,0,0,
2020-03-20,Uttar Pradesh,24,0,0,0,
2020-03-21,Uttar Pradesh,28,0,0,0,
2020-03-22,Uttar Pradesh,30,0,0,0,
2020-03-23,Uttar Pradesh,34,0,0,0,
2020-03-24,Uttar Pradesh,35,0,0,0,
2020-03-25,Uttar Pradesh,38,0,0,0,
2020-03-26,Uttar Pradesh,42,0,0,0,
2020-03-27,Uttar Pradesh,49,0,0,0,
2020-03-28,Uttar Pradesh,65,0,0,0,
2020-03-29,Uttar Pradesh,72,11,0,0,
2020-03-30,Uttar Pradesh,96,17,0,0,
2020-03-31,Uttar Pradesh,104,17,0,0,
2020-04-01,Uttar Pradesh,117,17,2,0,
2020-04-02,Uttar Pradesh,128,17,2,0,
2020-04-03,Uttar Pradesh,174,17,2,0,
2020-04-04,Uttar Pradesh,234,21,2,0,
2020-04-05,Uttar Pradesh,278,21,3,0,5255
2020-04-06,Uttar Pradesh,305,21,3,0,5255
2020-04-07,Uttar Pradesh,332,21,3,0,5255
2020-04-08,Uttar Pradesh,361,31,4,0,5255
2020-04-09,Uttar Pradesh,410,31,4,0,8402
2020-04-10,Uttar Pradesh,433,32,4,0,9332
2020-04-11,Uttar Pradesh,452,45,5,0,10595
2020-04-12,Uttar Pradesh,483,45,5,0,11855
2020-04-13,Uttar Pradesh,558,49,5,0,13287
2020-04-14,Uttar Pradesh,660,50,8,0,15914
2020-04-15,Uttar Pradesh,735,57,11,0,19506
2020-04-16,Uttar Pradesh,805,68,13,0,21384
2020-04-17,Uttar Pradesh,849,82,14,0,24643
2020-04-18,Uttar Pradesh,975,108,14,0,28484
2020-04-19,Uttar Pradesh,1100,127,17,0,31767
2020-04-20,Uttar Pradesh,1184,140,18,0,34326
2020-04-21,Uttar Pradesh,1337,162,21,0,37933
2020-04-22,Uttar Pradesh,1449,173,21,0,42192
2020-04-23,Uttar Pradesh,1510,206,24,0,45483
2020-04-24,Uttar Pradesh,1621,226,25,0,53166
2020-04-25,Uttar Pradesh,1793,261,27,0,56851
2020-04-26,Uttar Pradesh,1873,327,30,0,61799
2020-04-27,Uttar Pradesh,1986,399,31,0,67145
2020-04-28,Uttar Pradesh,2053,462,34,0,70307
2020-04-29,Uttar Pradesh,2134,510,39,0,73716
2020-04-30,Uttar Pradesh,2211,551,40,0,78013
2020-05-01,Uttar Pradesh,2328,654,42,0,82459
2020-05-02,Uttar Pradesh,2487,698,43,0,85729
2020-05-03,Uttar Pradesh,2645,754,43,0,95841
2020-05-04,Uttar Pradesh,2766,802,50,0,98300
2020-05-05,Uttar Pradesh,2880,987,56,0,105234
2020-05-06,Uttar Pradesh,2998,1130,60,0,109888
2020-05-07,Uttar Pradesh,3071,1250,62,0,113670
2020-05-08,Uttar Pradesh,3214,1387,66,0,119688
2020-05-09,Uttar Pradesh,3373,1499,74,0,124791
2020-05-10,Uttar Pradesh,3467,1653,79,0,129955
2020-05-11,Uttar Pradesh,3573,1758,80,0,135760
2020-05-12,Uttar Pradesh,3664,1873,82,0,140166
2020-05-13,Uttar Pradesh,3758,1965,86,0,145637
2020-05-14,Uttar Pradesh,3902,2072,88,0,153139
2020-05-15,Uttar Pradesh,4057,2165,95,0,159282
2020-05-16,Uttar Pradesh,4258,2441,104,0,163105
2020-05-17,Uttar Pradesh,4464,2636,112,0,172219
2020-05-18,Uttar Pradesh,4605,2783,118,0,176479
2020-05-19,Uttar Pradesh,4926,2918,123,0,182184
2020-05-20,Uttar Pradesh,5175,3066,127,0,191164
2020-05-21,Uttar Pradesh,5515,3204,138,0,206811
