Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-03-25,Goa,3,0,0,0,
2020-03-26,Goa,3,0,0,0,
2020-03-27,Goa,3,0,0,0,
2020-03-28,Goa,3,0,0,0,
2020-03-29,Goa,5,0,0,0,
2020-03-30,Goa,5,0,0,0,
2020-03-31,Goa,5,0,0,0,
2020-04-01,Goa,5,0,0,0,
2020-04-02,Goa,5,0,0,0,220
2020-04-03,Goa,6,0,0,0,220
2020-04-04,Goa,7,0,0,0,220
2020-04-05,Goa,7,0,0,0,220
2020-04-06,Goa,7,0,0,0,220
2020-04-07,Goa,7,0,0,0,220
2020-04-08,Goa,7,0,0,0,220
2020-04-09,Goa,7,0,0,0,344
2020-04-10,Goa,7,1,0,0,354
2020-04-11,Goa,7,5,0,0,354
2020-04-12,Goa,7,5,0,0,406
2020-04-13,Goa,7,5,0,0,440
2020-04-14,Goa,7,5,0,0,479
2020-04-15,Goa,7,6,0,0,556
2020-04-16,Goa,7,6,0,0,611
2020-04-17,Goa,7,6,0,0,673
2020-04-18,Goa,7,6,0,0,758
2020-04-19,Goa,7,7,0,0,826
2020-04-20,Goa,7,7,0,0,901
2020-04-21,Goa,7,7,0,0,1004
2020-04-22,Goa,7,7,0,0,1116
2020-04-23,Goa,7,7,0,0,1206
2020-04-24,Goa,7,7,0,0,1206
2020-04-25,Goa,7,7,0,0,1206
2020-04-26,Goa,7,7,0,0,1206
2020-04-27,Goa,7,7,0,0,1541
2020-04-28,Goa,7,7,0,0,1776
2020-04-29,Goa,7,7,0,0,1871
2020-04-30,Goa,7,7,0,0,2031
2020-05-01,Goa,7,7,0,0,2181
2020-05-02,Goa,7,7,0,0,2372
2020-05-03,Goa,7,7,0,0,2548
2020-05-04,Goa,7,7,0,0,2899
2020-05-05,Goa,7,7,0,0,3096
2020-05-06,Goa,7,7,0,0,3411
2020-05-07,Goa,7,7,0,0,3411
2020-05-08,Goa,7,7,0,0,4140
2020-05-09,Goa,7,7,0,0,4524
2020-05-10,Goa,7,7,0,0,4848
2020-05-11,Goa,7,7,0,0,5307
2020-05-12,Goa,7,7,0,0,5307
2020-05-13,Goa,7,7,0,0,5307
2020-05-14,Goa,15,7,0,0,6736
2020-05-15,Goa,15,7,0,0,7304
2020-05-16,Goa,20,7,0,0,8011
2020-05-17,Goa,29,7,0,0,8785
2020-05-18,Goa,38,7,0,0,8785
2020-05-19,Goa,46,7,0,0,9549
2020-05-20,Goa,50,7,0,0,10136
2020-05-21,Goa,52,7,0,0,10859
2020-05-22,Goa,54,16,0,0,11362
2020-05-23,Goa,55,16,0,0,11945
2020-05-24,Goa,66,16,0,0,12499
2020-05-25,Goa,67,19,0,0,12860
2020-05-26,Goa,67,28,0,0,13303
2020-05-27,Goa,68,37,0,0,13911
2020-05-28,Goa,69,38,0,0,14782
2020-05-29,Goa,69,41,0,0,16141
2020-05-30,Goa,70,42,0,0,17871
2020-05-31,Goa,71,44,0,0,19491
2020-06-01,Goa,73,50,0,0,20780
2020-06-02,Goa,79,57,0,0,22378
2020-06-03,Goa,126,57,0,0,23816
2020-06-04,Goa,166,57,0,0,25300
2020-06-05,Goa,196,65,0,0,26208
2020-06-06,Goa,267,65,0,0,27402
2020-06-07,Goa,300,65,0,0,29739
2020-06-08,Goa,330,67,0,0,31455
2020-06-09,Goa,359,67,0,0,32194
2020-06-10,Goa,387,67,0,0,35332
2020-06-11,Goa,417,67,0,0,37858
2020-06-12,Goa,463,69,0,0,39298
2020-06-13,Goa,523,70,0,0,40723
2020-06-14,Goa,564,74,0,0,41835
2020-06-15,Goa,592,85,0,0,42703
2020-06-16,Goa,629,85,0,0,44378
2020-06-17,Goa,656,96,0,0,45685
2020-06-18,Goa,705,109,0,0,46996
2020-06-19,Goa,725,118,0,0,49718
2020-06-20,Goa,754,129,0,0,51404
2020-06-21,Goa,818,135,0,0,52301
2020-06-22,Goa,864,152,1,0,53050
2020-06-23,Goa,909,205,2,0,54781
2020-06-24,Goa,951,289,2,0,56925
2020-06-25,Goa,995,335,2,0,58584
2020-06-26,Goa,1039,370,2,0,60350
2020-06-27,Goa,1128,420,2,0,61687
2020-06-28,Goa,1198,478,3,0,62945
2020-06-29,Goa,1251,524,3,0,64375
2020-06-30,Goa,1315,596,3,0,66491
2020-07-01,Goa,1387,670,4,0,67822
2020-07-02,Goa,1482,734,4,0,70738
2020-07-03,Goa,1576,772,4,0,72691
2020-07-04,Goa,1684,825,6,0,74314
2020-07-05,Goa,1761,936,7,0,75791
2020-07-06,Goa,1813,1061,7,0,77033
2020-07-07,Goa,1903,1156,8,0,79864
2020-07-08,Goa,2039,1207,8,0,82555
2020-07-09,Goa,2151,1273,9,0,84945
2020-07-10,Goa,2251,1347,9,0,87865
2020-07-11,Goa,2368,1428,12,0,90817
2020-07-12,Goa,2453,1487,14,0,92191
2020-07-13,Goa,2583,1540,17,0,93968
2020-07-14,Goa,2753,1607,18,0,96692
2020-07-15,Goa,2951,1674,18,0,99234
2020-07-16,Goa,3108,1817,19,0,101554
2020-07-17,Goa,3304,1946,21,0,103527
2020-07-18,Goa,3484,2038,21,0,105731
2020-07-19,Goa,3657,2218,22,0,107266
2020-07-20,Goa,3853,2361,23,0,108459
2020-07-21,Goa,4027,2449,26,0,111296
2020-07-22,Goa,4176,2541,28,0,114309
2020-07-23,Goa,4350,2655,29,0,117321
2020-07-24,Goa,4540,2865,29,0,119455
2020-07-25,Goa,4686,3047,33,0,121771
2020-07-26,Goa,4861,3277,35,0,123130
2020-07-27,Goa,5119,3410,36,0,124746
2020-07-28,Goa,5287,3595,36,0,126655
2020-07-29,Goa,5489,3784,39,0,128289
2020-07-30,Goa,5704,4005,42,0,129719
2020-07-31,Goa,5913,4211,45,0,131318
2020-08-01,Goa,6193,4438,48,0,132830
2020-08-02,Goa,6530,4668,53,0,134395
2020-08-03,Goa,6816,4876,56,0,135692
2020-08-04,Goa,7075,5114,60,0,137575
2020-08-05,Goa,7423,5287,64,0,139566
2020-08-06,Goa,7614,5453,66,0,142192
2020-08-07,Goa,7947,5595,70,0,144814
2020-08-08,Goa,8206,5802,72,0,147138
2020-08-09,Goa,8712,5995,75,0,149304
2020-08-10,Goa,9029,6208,80,0,151202
2020-08-11,Goa,9444,6480,86,0,153792
2020-08-12,Goa,9924,6641,89,0,156498
2020-08-13,Goa,10494,6912,91,0,159159
2020-08-14,Goa,10970,7157,93,0,162126
2020-08-15,Goa,11339,7488,98,0,163874
2020-08-16,Goa,11639,7775,104,0,165356
2020-08-17,Goa,11994,8058,111,0,167381
2020-08-18,Goa,12333,8356,116,0,170125
2020-08-19,Goa,12675,8713,124,0,172549
2020-08-20,Goa,13099,9063,126,0,175100
2020-08-21,Goa,13484,9540,135,0,178175
2020-08-22,Goa,13790,10019,140,0,179836
2020-08-23,Goa,13999,10472,144,0,180716
2020-08-24,Goa,14138,10909,148,0,182409
2020-08-25,Goa,14530,11224,157,0,184872
2020-08-26,Goa,15027,11511,165,0,187140
2020-08-27,Goa,15483,11867,171,0,189667
2020-08-28,Goa,16006,12296,175,0,192589
2020-08-29,Goa,16553,12729,178,0,195084
2020-08-30,Goa,17004,13186,183,0,197216
2020-08-31,Goa,17418,13577,192,0,199224
2020-09-01,Goa,18006,13850,194,0,202730
2020-09-02,Goa,18642,14059,204,0,204438
2020-09-03,Goa,19355,14361,212,0,206760
2020-09-04,Goa,19863,14747,220,0,208917
2020-09-05,Goa,20455,15281,229,0,211048
2020-09-06,Goa,20829,15839,236,0,212150
2020-09-07,Goa,21173,16427,245,0,213469
2020-09-08,Goa,21630,16875,256,0,215345
2020-09-09,Goa,22251,17156,262,0,217485
2020-09-10,Goa,22890,17592,268,0,219666
2020-09-11,Goa,23445,18065,276,0,221433
2020-09-12,Goa,24185,18576,286,0,223892
2020-09-13,Goa,24592,19129,290,0,225051
2020-09-14,Goa,24898,19648,304,0,225910
2020-09-15,Goa,25511,20094,315,0,227810
2020-09-16,Goa,26139,20445,319,0,229876
2020-09-17,Goa,26783,20844,327,0,231801
2020-09-18,Goa,27379,21314,335,0,233674
2020-09-19,Goa,28022,21760,342,0,235787
2020-09-20,Goa,28429,22297,351,0,237198
2020-09-21,Goa,28753,22726,360,0,238343
2020-09-22,Goa,29343,23462,368,0,240206
2020-09-23,Goa,29879,23857,376,0,242078
2020-09-24,Goa,30552,24347,383,0,244189
2020-09-25,Goa,31071,25071,386,0,246170
2020-09-26,Goa,31574,25759,391,0,248153
2020-09-27,Goa,31958,26460,401,0,249581
2020-09-28,Goa,32396,27072,407,0,251033
2020-09-29,Goa,32777,27781,419,0,252783
2020-09-30,Goa,33418,28125,428,0,254801
2020-10-01,Goa,33942,28525,440,0,256897
2020-10-02,Goa,34455,29004,442,0,258285
2020-10-03,Goa,34900,29527,450,0,259777
2020-10-04,Goa,35328,30033,456,0,260955
2020-10-05,Goa,35719,30456,460,0,262241
2020-10-06,Goa,36238,31050,468,0,264139
2020-10-07,Goa,36670,31444,477,0,265959
2020-10-08,Goa,37102,31902,484,0,267362
2020-10-09,Goa,37591,32317,491,0,269205
2020-10-10,Goa,37934,32777,499,0,270616
2020-10-11,Goa,38366,33203,507,0,271962
2020-10-12,Goa,38674,33698,511,0,273404
2020-10-13,Goa,39082,34252,514,0,274974
2020-10-14,Goa,39438,34731,519,0,276457
2020-10-15,Goa,39770,35161,525,0,278039
2020-10-16,Goa,40091,35610,531,0,279295
2020-10-17,Goa,40400,36035,538,0,280703
2020-10-18,Goa,40587,36395,544,0,281949
2020-10-19,Goa,40746,36914,549,0,282691
2020-10-20,Goa,41031,37275,555,0,284193
2020-10-21,Goa,41339,37683,557,0,285455
2020-10-22,Goa,41586,38031,564,0,286711
2020-10-23,Goa,41813,38421,568,0,287887
2020-10-24,Goa,42031,38769,570,0,289332
2020-10-25,Goa,42242,39090,576,0,290350
2020-10-26,Goa,42532,39433,582,0,291630
2020-10-27,Goa,42747,39778,585,0,293591
2020-10-28,Goa,42968,39974,592,0,295392
2020-10-29,Goa,43201,40168,597,0,297075
2020-10-30,Goa,43416,40409,602,0,298792
2020-10-31,Goa,43626,40678,604,0,300548
2020-11-01,Goa,43768,40915,609,0,301440
2020-11-02,Goa,43954,41123,616,0,302832
2020-11-03,Goa,44189,41362,618,0,304544
2020-11-04,Goa,44372,41611,626,0,306425
2020-11-05,Goa,44544,41849,630,0,308011
2020-11-06,Goa,44747,42056,633,0,309751
2020-11-07,Goa,44916,42239,641,0,311014
2020-11-08,Goa,45065,42446,643,0,312780
2020-11-09,Goa,45209,42678,647,0,314183
2020-11-10,Goa,45389,42877,651,0,315761
2020-11-11,Goa,45498,43029,656,0,317230
2020-11-12,Goa,45605,43221,656,0,318541
2020-11-13,Goa,45761,43388,658,0,320092
2020-11-14,Goa,45845,43533,659,0,321050
2020-11-15,Goa,45903,43656,662,0,321769
2020-11-16,Goa,46028,43941,663,0,322989
2020-11-17,Goa,46182,44132,667,0,324649
2020-11-18,Goa,46344,44310,670,0,326365
