Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-03-19,Gujarat,2,0,0,0,
2020-03-20,Gujarat,7,0,0,0,
2020-03-21,Gujarat,14,0,0,0,
2020-03-22,Gujarat,18,0,0,0,
2020-03-23,Gujarat,30,0,0,0,
2020-03-24,Gujarat,36,0,0,0,
2020-03-25,Gujarat,38,0,0,0,
2020-03-26,Gujarat,44,0,0,0,
2020-03-27,Gujarat,47,0,0,0,
2020-03-28,Gujarat,55,0,0,0,
2020-03-29,Gujarat,63,1,5,0,
2020-03-30,Gujarat,70,3,6,0,
2020-03-31,Gujarat,74,5,6,0,
2020-04-01,Gujarat,87,5,6,0,
2020-04-02,Gujarat,88,10,7,0,
2020-04-03,Gujarat,95,10,9,0,
2020-04-04,Gujarat,108,13,10,0,
2020-04-05,Gujarat,128,21,11,0,
2020-04-06,Gujarat,146,22,12,0,
2020-04-07,Gujarat,175,25,14,0,
2020-04-08,Gujarat,186,25,16,0,4224
2020-04-09,Gujarat,262,26,18,0,4224
2020-04-10,Gujarat,378,33,19,0,7718
2020-04-11,Gujarat,468,44,22,0,9763
2020-04-12,Gujarat,516,44,24,0,11715
2020-04-13,Gujarat,572,54,26,0,14251
2020-04-14,Gujarat,650,59,28,0,14980
2020-04-15,Gujarat,766,64,33,0,19197
2020-04-16,Gujarat,929,73,36,0,20903
2020-04-17,Gujarat,1099,86,41,0,23483
2020-04-18,Gujarat,1376,93,53,0,26102
2020-04-19,Gujarat,1743,105,63,0,29104
2020-04-20,Gujarat,1939,131,71,0,33316
2020-04-21,Gujarat,2178,139,90,0,36829
2020-04-22,Gujarat,2407,179,103,0,39421
2020-04-23,Gujarat,2624,258,112,0,42384
2020-04-24,Gujarat,2815,265,127,0,46743
2020-04-25,Gujarat,3071,282,133,0,48315
2020-04-26,Gujarat,3301,313,151,0,51091
2020-04-27,Gujarat,3548,394,162,0,53575
2020-04-28,Gujarat,3774,434,181,0,56101
2020-04-29,Gujarat,4082,527,197,0,59488
2020-04-30,Gujarat,4395,613,214,0,64007
2020-05-01,Gujarat,4721,736,236,0,68774
2020-05-02,Gujarat,5054,896,262,0,74116
2020-05-03,Gujarat,5428,1042,290,0,80060
2020-05-04,Gujarat,5804,1195,319,0,84648
2020-05-05,Gujarat,6245,1381,368,0,89632
2020-05-06,Gujarat,6625,1500,396,0,95191
2020-05-07,Gujarat,7013,1709,425,0,100553
2020-05-08,Gujarat,7403,1872,449,0,105386
2020-05-09,Gujarat,7797,2091,472,0,109650
2020-05-10,Gujarat,8195,2545,493,0,113493
2020-05-11,Gujarat,8542,2780,513,0,116470
2020-05-12,Gujarat,8904,3246,537,0,119536
2020-05-13,Gujarat,9268,3562,566,0,122297
2020-05-14,Gujarat,9592,3753,586,0,124708
2020-05-15,Gujarat,9932,4035,606,0,127859
2020-05-16,Gujarat,10989,4308,625,0,138407
2020-05-17,Gujarat,11380,4499,659,0,143600
2020-05-18,Gujarat,11746,4804,694,0,148824
2020-05-19,Gujarat,12141,5043,719,0,154674
2020-05-20,Gujarat,12539,5219,749,0,160772
2020-05-21,Gujarat,12910,5488,773,0,166152
2020-05-22,Gujarat,13273,5880,802,0,172562
2020-05-23,Gujarat,13669,6169,829,0,178068
2020-05-24,Gujarat,14063,6412,858,0,182868
2020-05-25,Gujarat,14468,6636,888,0,186361
2020-05-26,Gujarat,14829,7137,915,0,189313
2020-05-27,Gujarat,15205,7547,938,0,193863
2020-05-28,Gujarat,15572,8001,960,0,198048
2020-05-29,Gujarat,15944,8609,980,0,201481
2020-05-30,Gujarat,16356,9230,1007,0,205780
