Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-03-04,Haryana,14,0,0,0,
2020-03-05,Haryana,14,0,0,0,
2020-03-06,Haryana,14,0,0,0,
2020-03-07,Haryana,14,0,0,0,
2020-03-08,Haryana,14,0,0,0,
2020-03-09,Haryana,14,0,0,0,
2020-03-10,Haryana,14,0,0,0,
2020-03-11,Haryana,14,0,0,0,
2020-03-12,Haryana,14,0,0,0,
2020-03-13,Haryana,14,0,0,0,
2020-03-14,Haryana,14,0,0,0,
2020-03-15,Haryana,14,0,0,0,
2020-03-16,Haryana,14,0,0,0,
2020-03-17,Haryana,15,0,0,0,
2020-03-18,Haryana,17,0,0,0,
2020-03-19,Haryana,17,0,0,0,
2020-03-20,Haryana,19,0,0,0,
2020-03-21,Haryana,21,0,0,0,
2020-03-22,Haryana,21,0,0,0,
2020-03-23,Haryana,28,0,0,0,
2020-03-24,Haryana,30,0,0,0,
2020-03-25,Haryana,31,0,0,0,
2020-03-26,Haryana,32,0,0,0,
2020-03-27,Haryana,33,0,0,0,
2020-03-28,Haryana,35,0,0,0,
2020-03-29,Haryana,35,14,0,0,
2020-03-30,Haryana,36,20,0,0,
2020-03-31,Haryana,43,24,0,0,
2020-04-01,Haryana,43,27,0,0,
2020-04-02,Haryana,49,27,0,0,
2020-04-03,Haryana,58,28,0,0,1325
2020-04-04,Haryana,84,29,0,0,1325
2020-04-05,Haryana,90,29,0,0,1325
2020-04-06,Haryana,110,29,2,0,1325
2020-04-07,Haryana,143,31,2,0,2520
2020-04-08,Haryana,167,32,2,0,2650
2020-04-09,Haryana,170,32,2,0,2964
2020-04-10,Haryana,176,36,2,0,3527
2020-04-11,Haryana,179,36,2,0,3663
2020-04-12,Haryana,195,44,3,0,3903
2020-04-13,Haryana,196,51,3,0,4489
2020-04-14,Haryana,198,55,3,0,5210
2020-04-15,Haryana,204,57,3,0,7388
2020-04-16,Haryana,215,65,3,0,8064
2020-04-17,Haryana,223,86,3,0,8884
2020-04-18,Haryana,232,100,3,0,10454
2020-04-19,Haryana,250,104,3,0,12687
2020-04-20,Haryana,251,141,3,0,13894
2020-04-21,Haryana,255,147,3,0,14562
2020-04-22,Haryana,264,158,3,0,15561
2020-04-23,Haryana,270,170,3,0,17582
2020-04-24,Haryana,275,186,3,0,18845
2020-04-25,Haryana,287,191,3,0,20270
2020-04-26,Haryana,296,199,3,0,21467
2020-04-27,Haryana,301,213,3,0,22993
2020-04-28,Haryana,308,224,3,0,24826
2020-04-29,Haryana,311,225,3,0,26148
2020-04-30,Haryana,339,235,4,0,28202
2020-05-01,Haryana,357,241,4,0,30191
2020-05-02,Haryana,376,242,5,0,31200
2020-05-03,Haryana,442,245,5,0,35278
2020-05-04,Haryana,517,254,6,0,38183
2020-05-05,Haryana,548,256,6,0,40982
2020-05-06,Haryana,594,260,7,0,43279
2020-05-07,Haryana,625,260,7,0,46495
2020-05-08,Haryana,647,279,8,0,49746
2020-05-09,Haryana,675,290,9,0,53282
2020-05-10,Haryana,703,300,10,0,56983
2020-05-11,Haryana,730,337,11,0,59735
2020-05-12,Haryana,780,342,11,0,62377
2020-05-13,Haryana,793,418,11,0,65785
2020-05-14,Haryana,818,439,11,0,69191
2020-05-15,Haryana,854,464,13,0,72326
2020-05-16,Haryana,887,514,13,0,75097
2020-05-17,Haryana,910,562,14,0,78029
2020-05-18,Haryana,928,598,14,0,80698
2020-05-19,Haryana,964,627,14,0,82544
2020-05-20,Haryana,993,648,14,0,83944
2020-05-21,Haryana,1030,681,14,0,88138
2020-05-22,Haryana,1067,706,16,0,91119
2020-05-23,Haryana,1131,750,16,0,94035
2020-05-24,Haryana,1184,765,16,0,97006
2020-05-25,Haryana,1213,802,16,0,99987
2020-05-26,Haryana,1305,824,16,0,102018
2020-05-27,Haryana,1381,838,18,0,104747
2020-05-28,Haryana,1504,881,19,0,108031
2020-05-29,Haryana,1721,940,19,0,110940
2020-05-30,Haryana,1923,971,20,0,114683
2020-05-31,Haryana,2091,1048,20,0,118138
2020-06-01,Haryana,2356,1055,21,0,121779
2020-06-02,Haryana,2652,1069,23,0,124564
2020-06-03,Haryana,2954,1089,23,0,127895
2020-06-04,Haryana,3281,1123,24,0,132575
2020-06-05,Haryana,3597,1209,24,0,137452
2020-06-06,Haryana,3952,1280,24,0,141688
2020-06-07,Haryana,4448,1474,28,0,145722
2020-06-08,Haryana,4854,1700,39,0,150220
2020-06-09,Haryana,5209,1807,45,0,153692
2020-06-10,Haryana,5579,2188,52,0,158470
2020-06-11,Haryana,5968,2261,64,0,162967
2020-06-12,Haryana,6334,2475,70,0,167501
2020-06-13,Haryana,6749,2803,78,0,171560
2020-06-14,Haryana,7208,3003,88,0,185722
2020-06-15,Haryana,7722,3565,100,0,189914
2020-06-16,Haryana,8272,3748,118,0,193421
2020-06-17,Haryana,8832,3952,130,0,197703
2020-06-18,Haryana,9218,4556,134,0,202808
2020-06-19,Haryana,9743,4889,144,0,207675
2020-06-20,Haryana,10223,5128,149,0,212430
2020-06-21,Haryana,10635,5557,160,0,217797
2020-06-22,Haryana,11025,5916,169,0,222948
2020-06-23,Haryana,11520,6498,178,0,226951
2020-06-24,Haryana,12010,6925,188,0,231673
2020-06-25,Haryana,12463,7380,198,0,236898
2020-06-26,Haryana,12884,8016,211,0,241941
2020-06-27,Haryana,13427,8472,218,0,247139
2020-06-28,Haryana,13829,8917,223,0,252356
2020-06-29,Haryana,14210,9502,232,0,260341
2020-06-30,Haryana,14548,9972,236,0,264203
2020-07-01,Haryana,14941,10499,240,0,269726
2020-07-02,Haryana,15509,11019,251,0,277031
2020-07-03,Haryana,16003,11691,255,0,288478
2020-07-04,Haryana,16548,12257,260,0,298094
2020-07-05,Haryana,17005,12944,265,0,307159
2020-07-06,Haryana,17504,13335,276,0,315853
2020-07-07,Haryana,17999,13645,279,0,323491
2020-07-08,Haryana,18690,14106,282,0,332504
2020-07-09,Haryana,19364,14505,287,0,342404
2020-07-10,Haryana,19934,14904,290,0,352343
2020-07-11,Haryana,20582,15394,297,0,363428
2020-07-12,Haryana,21240,15983,301,0,372621
2020-07-13,Haryana,21929,16637,308,0,381420
2020-07-14,Haryana,22628,17090,312,0,388760
2020-07-15,Haryana,23306,17667,319,0,400155
2020-07-16,Haryana,24002,18185,322,0,409852
2020-07-17,Haryana,24797,18718,327,0,424692
2020-07-18,Haryana,25547,19318,344,0,436535
2020-07-19,Haryana,26164,19793,349,0,447345
2020-07-20,Haryana,26858,20226,355,0,457310
2020-07-21,Haryana,27462,20952,364,0,467740
2020-07-22,Haryana,28186,21697,372,0,477412
2020-07-23,Haryana,28975,22249,378,0,490414
2020-07-24,Haryana,29755,22953,382,0,505220
2020-07-25,Haryana,30538,23654,389,0,536323
2020-07-26,Haryana,31332,24384,392,0,549463
2020-07-27,Haryana,32127,25046,397,0,559326
2020-07-28,Haryana,32876,25758,406,0,570219
2020-07-29,Haryana,33631,26420,413,0,582639
2020-07-30,Haryana,34254,27340,417,0,600893
2020-07-31,Haryana,34965,28227,421,0,612591
2020-08-01,Haryana,35758,29080,428,0,628806
2020-08-02,Haryana,36519,29690,433,0,646286
2020-08-03,Haryana,37173,30470,440,0,657949
2020-08-04,Haryana,37796,31226,448,0,671064
2020-08-05,Haryana,38548,31960,455,0,683500
2020-08-06,Haryana,39303,32640,458,0,697779
2020-08-07,Haryana,40054,33444,467,0,713061
2020-08-08,Haryana,40843,34031,474,0,730036
2020-08-09,Haryana,41635,34781,483,0,744080
2020-08-10,Haryana,42429,35492,489,0,753945
2020-08-11,Haryana,43227,36082,500,0,771769
2020-08-12,Haryana,44024,36694,503,0,786839
2020-08-13,Haryana,44817,37486,511,0,801784
