Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-03-17,West Bengal,1,0,0,0,
2020-03-18,West Bengal,1,0,0,0,
2020-03-19,West Bengal,1,0,0,0,
2020-03-20,West Bengal,2,0,0,0,
2020-03-21,West Bengal,4,0,0,0,
2020-03-22,West Bengal,7,0,0,0,
2020-03-23,West Bengal,7,0,0,0,
2020-03-24,West Bengal,9,0,0,0,
2020-03-25,West Bengal,9,0,0,0,
2020-03-26,West Bengal,10,0,0,0,
2020-03-27,West Bengal,15,0,0,0,
2020-03-28,West Bengal,18,0,0,0,
2020-03-29,West Bengal,21,0,1,0,
2020-03-30,West Bengal,22,0,2,0,
2020-03-31,West Bengal,37,3,3,0,
2020-04-01,West Bengal,37,3,3,0,659
2020-04-02,West Bengal,53,3,3,0,659
2020-04-03,West Bengal,53,3,3,0,659
2020-04-04,West Bengal,53,3,3,0,1042
2020-04-05,West Bengal,80,10,3,0,1042
2020-04-06,West Bengal,80,10,3,0,1301
2020-04-07,West Bengal,91,13,3,0,1487
2020-04-08,West Bengal,99,13,5,0,1487
2020-04-09,West Bengal,103,16,5,0,1889
2020-04-10,West Bengal,116,16,5,0,2095
2020-04-11,West Bengal,126,16,5,0,2286
2020-04-12,West Bengal,134,19,7,0,2523
2020-04-13,West Bengal,152,29,7,0,2793
2020-04-14,West Bengal,190,36,7,0,3081
2020-04-15,West Bengal,213,37,7,0,3470
2020-04-16,West Bengal,231,42,10,0,3811
2020-04-17,West Bengal,255,51,10,0,4212
2020-04-18,West Bengal,287,55,12,0,4630
2020-04-19,West Bengal,310,62,12,0,5045
2020-04-20,West Bengal,339,66,12,0,5469
2020-04-21,West Bengal,392,73,15,0,6182
2020-04-22,West Bengal,423,73,15,0,7037
2020-04-23,West Bengal,456,79,15,0,7990
2020-04-24,West Bengal,514,103,18,0,8933
2020-04-25,West Bengal,571,103,18,0,9880
2020-04-26,West Bengal,611,105,20,0,10893
2020-04-27,West Bengal,649,105,20,0,12043
2020-04-28,West Bengal,697,109,22,0,13223
2020-04-29,West Bengal,725,119,22,0,14620
2020-04-30,West Bengal,758,124,33,0,16525
2020-05-01,West Bengal,795,139,41,0,18566
2020-05-02,West Bengal,922,151,48,0,20976
2020-05-03,West Bengal,1198,132,122,0,22915
2020-05-04,West Bengal,1259,218,133,0,25116
2020-05-05,West Bengal,1344,264,140,0,27571
2020-05-06,West Bengal,1456,265,144,0,30141
2020-05-07,West Bengal,1548,296,151,0,32752
2020-05-08,West Bengal,1678,323,160,0,35767
2020-05-09,West Bengal,1786,372,171,0,39368
2020-05-10,West Bengal,1939,417,185,0,43414
2020-05-11,West Bengal,2063,499,190,0,47615
2020-05-12,West Bengal,2173,612,198,0,52622
2020-05-13,West Bengal,2290,702,207,0,57632
2020-05-14,West Bengal,2377,768,215,0,62837
2020-05-15,West Bengal,2461,829,225,0,69543
2020-05-16,West Bengal,2576,892,232,0,77288
2020-05-17,West Bengal,2677,959,238,0,85956
2020-05-18,West Bengal,2824,1006,244,0,93570
2020-05-19,West Bengal,2961,1074,250,0,102282
2020-05-20,West Bengal,3103,1136,253,0,111002
2020-05-21,West Bengal,3197,1193,259,0,115244
2020-05-22,West Bengal,3332,1221,265,0,120599
2020-05-23,West Bengal,3459,1281,269,0,129608
2020-05-24,West Bengal,3667,1339,272,0,138824
2020-05-25,West Bengal,3816,1414,278,0,148049
2020-05-26,West Bengal,4009,1486,283,0,157277
2020-05-27,West Bengal,4192,1578,289,0,166513
2020-05-28,West Bengal,4536,1668,295,0,175769
2020-05-29,West Bengal,4813,1775,302,0,185051
2020-05-30,West Bengal,5130,1970,309,0,194397
2020-05-31,West Bengal,5501,2157,317,0,203751
2020-06-01,West Bengal,5772,2306,325,0,213231
2020-06-02,West Bengal,6168,2410,335,0,222726
2020-06-03,West Bengal,6508,2580,345,0,232225
2020-06-04,West Bengal,6876,2768,355,0,241831
2020-06-05,West Bengal,7303,2912,366,0,251517
2020-06-06,West Bengal,7738,3119,383,0,261288
2020-06-07,West Bengal,8187,3303,396,0,271074
2020-06-08,West Bengal,8613,3465,405,0,280098
2020-06-09,West Bengal,8985,3620,415,0,287900
2020-06-10,West Bengal,9328,3779,432,0,297419
2020-06-11,West Bengal,9768,3988,442,0,306941
2020-06-12,West Bengal,10244,4206,451,0,315699
2020-06-13,West Bengal,10698,4542,463,0,324707
2020-06-14,West Bengal,11087,5060,475,0,333733
2020-06-15,West Bengal,11494,5494,485,0,343242
2020-06-16,West Bengal,11909,6028,495,0,351754
2020-06-17,West Bengal,12300,6533,506,0,360976
2020-06-18,West Bengal,12735,7001,518,0,370291
2020-06-19,West Bengal,13090,7303,529,0,380612
2020-06-20,West Bengal,13531,7865,540,0,390942
2020-06-21,West Bengal,13945,8297,555,0,401491
2020-06-22,West Bengal,14358,8687,569,0,410854
2020-06-23,West Bengal,14728,9218,580,0,420277
2020-06-24,West Bengal,15173,9702,591,0,429766
2020-06-25,West Bengal,15648,10190,606,0,439258
2020-06-26,West Bengal,16190,10535,616,0,448795
2020-06-27,West Bengal,16711,10789,629,0,458343
2020-06-28,West Bengal,17283,11193,639,0,468906
2020-06-29,West Bengal,17907,11719,653,0,478419
2020-06-30,West Bengal,18559,12130,668,0,488038
2020-07-01,West Bengal,19170,12528,683,0,497596
2020-07-02,West Bengal,19819,13037,699,0,508001
2020-07-03,West Bengal,20488,13571,717,0,519054
2020-07-04,West Bengal,21231,14166,736,0,530072
2020-07-05,West Bengal,22126,14711,757,0,541088
2020-07-06,West Bengal,22987,15235,779,0,552007
2020-07-07,West Bengal,23837,15790,804,0,562137
2020-07-08,West Bengal,24823,16291,827,0,572523
2020-07-09,West Bengal,25911,16826,854,0,583328
2020-07-10,West Bengal,27109,17348,880,0,593967
2020-07-11,West Bengal,28453,17959,906,0,605370
2020-07-12,West Bengal,30013,18581,932,0,617079
2020-07-13,West Bengal,31448,19213,956,0,627438
2020-07-14,West Bengal,32838,19931,980,0,638540
2020-07-15,West Bengal,34427,20680,1000,0,649928
2020-07-16,West Bengal,36117,21415,1023,0,663108
2020-07-17,West Bengal,38011,22253,1049,0,676348
2020-07-18,West Bengal,40209,23539,1076,0,689813
2020-07-19,West Bengal,42487,24883,1112,0,703284
2020-07-20,West Bengal,44769,26418,1147,0,716365
2020-07-21,West Bengal,47030,28035,1182,0,729429
2020-07-22,West Bengal,49321,29650,1221,0,743469
2020-07-23,West Bengal,51757,31656,1255,0,758027
2020-07-24,West Bengal,53973,33529,1290,0,773512
2020-07-25,West Bengal,56377,35654,1332,0,789140
2020-07-26,West Bengal,58718,37751,1372,0,805185
2020-07-27,West Bengal,60830,39917,1411,0,822190
2020-07-28,West Bengal,62964,42022,1449,0,839211
2020-07-29,West Bengal,65258,44116,1490,0,856355
2020-07-30,West Bengal,67692,46256,1536,0,874397
2020-07-31,West Bengal,70188,48374,1581,0,893400
2020-08-01,West Bengal,72777,50517,1629,0,913465
2020-08-02,West Bengal,75516,52730,1678,0,934537
2020-08-03,West Bengal,78232,54818,1731,0,956659
2020-08-04,West Bengal,80984,56884,1785,0,978980
2020-08-05,West Bengal,83800,58962,1846,0,1003027
2020-08-06,West Bengal,86754,61023,1902,0,1028251
2020-08-07,West Bengal,89666,63060,1954,0,1054509
2020-08-08,West Bengal,92615,65124,2005,0,1079657
2020-08-09,West Bengal,95554,67120,2059,0,1105899
2020-08-10,West Bengal,98459,70328,2100,0,1132196
2020-08-11,West Bengal,101390,73395,2149,0,1159211
2020-08-12,West Bengal,104326,76120,2203,0,1186923
2020-08-13,West Bengal,107323,78617,2259,0,1216955
2020-08-14,West Bengal,110358,81189,2319,0,1248272
2020-08-15,West Bengal,113432,83836,2377,0,1282486
2020-08-16,West Bengal,116498,86771,2428,0,1314772
2020-08-17,West Bengal,119578,89703,2473,0,1347091
2020-08-18,West Bengal,122753,92690,2528,0,1382198
2020-08-19,West Bengal,125922,95663,2581,0,1416556
2020-08-20,West Bengal,129119,98789,2634,0,1451615
2020-08-21,West Bengal,132364,101871,2689,0,1487844
2020-08-22,West Bengal,135596,104959,2737,0,1524162
2020-08-23,West Bengal,138870,108007,2794,0,1561311
2020-08-24,West Bengal,141837,111292,2851,0,1596578
2020-08-25,West Bengal,144801,114543,2909,0,1634102
2020-08-26,West Bengal,147775,117857,2964,0,1674133
2020-08-27,West Bengal,150772,121046,3017,0,1716607
2020-08-28,West Bengal,153754,124332,3073,0,1758728
2020-08-29,West Bengal,156766,127644,3126,0,1801960
2020-08-30,West Bengal,159785,130952,3176,0,1845396
2020-08-31,West Bengal,162778,134270,3228,0,1887635
2020-09-01,West Bengal,165721,137616,3283,0,1931373
2020-09-02,West Bengal,168697,140913,3339,0,1975493
2020-09-03,West Bengal,171681,144248,3394,0,2020784
2020-09-04,West Bengal,174659,147553,3452,0,2066404
2020-09-05,West Bengal,177701,150801,3510,0,2112185
2020-09-06,West Bengal,180788,154008,3562,0,2158690
2020-09-07,West Bengal,183865,157029,3620,0,2200906
2020-09-08,West Bengal,186956,160025,3677,0,2243294
2020-09-09,West Bengal,190063,162992,3730,0,2285936
2020-09-10,West Bengal,193175,166027,3771,0,2330283
