Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-03-09,Punjab,1,0,0,0,
2020-03-10,Punjab,1,0,0,0,
2020-03-11,Punjab,1,0,0,0,
2020-03-12,Punjab,1,0,0,0,
2020-03-13,Punjab,1,0,0,0,
2020-03-14,Punjab,1,0,0,0,
2020-03-15,Punjab,1,0,0,0,
2020-03-16,Punjab,1,0,0,0,
2020-03-17,Punjab,1,0,0,0,
2020-03-18,Punjab,1,0,0,0,
2020-03-19,Punjab,2,0,0,0,
2020-03-20,Punjab,3,0,0,0,
2020-03-21,Punjab,13,0,0,0,
2020-03-22,Punjab,21,0,0,0,
2020-03-23,Punjab,23,0,0,0,
2020-03-24,Punjab,29,0,0,0,
2020-03-25,Punjab,31,0,0,0,
2020-03-26,Punjab,33,0,0,0,
2020-03-27,Punjab,38,0,0,0,
2020-03-28,Punjab,38,0,0,0,
2020-03-29,Punjab,38,1,1,0,
2020-03-30,Punjab,41,1,3,0,
2020-03-31,Punjab,42,1,4,0,
2020-04-01,Punjab,46,1,4,0,
2020-04-02,Punjab,47,1,5,0,1434
2020-04-03,Punjab,53,1,5,0,1434
2020-04-04,Punjab,65,3,5,0,1434
2020-04-05,Punjab,68,4,7,0,1434
2020-04-06,Punjab,79,4,7,0,1434
2020-04-07,Punjab,99,14,8,0,1434
2020-04-08,Punjab,106,14,9,0,2937
2020-04-09,Punjab,130,18,10,0,3192
2020-04-10,Punjab,151,20,11,0,3461
2020-04-11,Punjab,158,20,12,0,3909
2020-04-12,Punjab,170,23,12,0,4281
2020-04-13,Punjab,176,25,12,0,4480
2020-04-14,Punjab,184,27,13,0,4844
2020-04-15,Punjab,186,27,13,0,5193
2020-04-16,Punjab,197,29,14,0,5524
2020-04-17,Punjab,211,30,14,0,5988
2020-04-18,Punjab,234,31,16,0,6167
2020-04-19,Punjab,244,37,16,0,6607
2020-04-20,Punjab,245,38,16,0,6797
2020-04-21,Punjab,251,49,16,0,7355
2020-04-22,Punjab,278,53,16,0,7887
2020-04-23,Punjab,283,66,17,0,8757
2020-04-24,Punjab,298,70,17,0,10611
2020-04-25,Punjab,308,72,17,0,13270
2020-04-26,Punjab,322,84,18,0,14317
2020-04-27,Punjab,330,98,19,0,15516
2020-04-28,Punjab,342,101,19,0,17021
2020-04-29,Punjab,375,101,19,0,18670
2020-04-30,Punjab,480,104,20,0,21205
2020-05-01,Punjab,585,108,20,0,23176
2020-05-02,Punjab,772,112,20,0,24868
2020-05-03,Punjab,1102,117,21,0,26439
2020-05-04,Punjab,1232,128,23,0,28545
2020-05-05,Punjab,1451,133,25,0,30199
2020-05-06,Punjab,1526,135,27,0,32060
2020-05-07,Punjab,1644,149,28,0,34701
2020-05-08,Punjab,1731,152,29,0,37950
2020-05-09,Punjab,1762,157,31,0,39462
2020-05-10,Punjab,1823,166,31,0,40962
2020-05-11,Punjab,1877,168,31,0,42306
2020-05-12,Punjab,1914,171,32,0,43999
2020-05-13,Punjab,1924,200,32,0,46026
2020-05-14,Punjab,1935,223,32,0,47408
2020-05-15,Punjab,1932,305,32,0,49301
2020-05-16,Punjab,1946,1257,32,0,50613
2020-05-17,Punjab,1964,1366,35,0,51812
2020-05-18,Punjab,1980,1547,37,0,52955
2020-05-19,Punjab,2002,1642,38,0,55634
2020-05-20,Punjab,2005,1794,38,0,57737
2020-05-21,Punjab,2028,1819,39,0,59618
2020-05-22,Punjab,2029,1847,39,0,62399
2020-05-23,Punjab,2045,1870,39,0,63567
2020-05-24,Punjab,2060,1898,40,0,66142
2020-05-25,Punjab,2081,1913,40,0,67213
2020-05-26,Punjab,2106,1918,40,0,69818
2020-05-27,Punjab,2139,1918,40,0,72468
2020-05-28,Punjab,2158,1946,40,0,72468
2020-05-29,Punjab,2197,1949,42,0,81021
2020-05-30,Punjab,2233,1967,44,0,84497
2020-05-31,Punjab,2263,1987,45,0,87852
2020-06-01,Punjab,2301,2000,44,0,91113
2020-06-02,Punjab,2342,2017,46,0,96329
2020-06-03,Punjab,2376,2029,47,0,101036
2020-06-04,Punjab,2415,2043,47,0,106933
2020-06-05,Punjab,2461,2069,48,0,113542
2020-06-06,Punjab,2515,2092,50,0,115974
2020-06-07,Punjab,2608,2106,51,0,124266
2020-06-08,Punjab,2663,2128,53,0,129821
2020-06-09,Punjab,2719,2167,55,0,136343
2020-06-10,Punjab,2805,2232,55,0,144467
2020-06-11,Punjab,2887,2259,59,0,154498
2020-06-12,Punjab,2986,2282,63,0,165548
2020-06-13,Punjab,3063,2327,65,0,176533
2020-06-14,Punjab,3140,2356,67,0,182225
2020-06-15,Punjab,3267,2443,71,0,188699
2020-06-16,Punjab,3371,2461,72,0,198211
2020-06-17,Punjab,3497,2538,78,0,208408
2020-06-18,Punjab,3615,2570,83,0,219528
2020-06-19,Punjab,3832,2636,92,0,227012
2020-06-20,Punjab,3952,2678,98,0,235700
2020-06-21,Punjab,4074,2700,99,0,240803
2020-06-22,Punjab,4235,2825,101,0,246760
2020-06-23,Punjab,4397,3047,105,0,255380
2020-06-24,Punjab,4627,3099,113,0,260857
2020-06-25,Punjab,4769,3192,120,0,269037
