Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-03-02,Delhi,1,0,0,0,
2020-03-03,Delhi,1,0,0,0,
2020-03-04,Delhi,1,0,0,0,
2020-03-05,Delhi,2,0,0,0,
2020-03-06,Delhi,3,0,0,0,
2020-03-07,Delhi,3,0,0,0,
2020-03-08,Delhi,3,0,0,0,
2020-03-09,Delhi,4,0,0,0,
2020-03-10,Delhi,4,0,0,0,
2020-03-11,Delhi,5,0,0,0,
2020-03-12,Delhi,6,0,0,0,
2020-03-13,Delhi,7,0,0,0,
2020-03-14,Delhi,7,0,0,0,
2020-03-15,Delhi,7,0,0,0,
2020-03-16,Delhi,7,0,0,0,
2020-03-17,Delhi,10,0,0,0,
2020-03-18,Delhi,11,0,0,0,
2020-03-19,Delhi,14,0,0,0,
2020-03-20,Delhi,20,0,0,0,
2020-03-21,Delhi,27,0,0,0,
2020-03-22,Delhi,28,0,0,0,
2020-03-23,Delhi,30,0,0,0,
2020-03-24,Delhi,30,0,0,0,
2020-03-25,Delhi,35,0,0,0,
2020-03-26,Delhi,39,0,0,0,
2020-03-27,Delhi,40,0,0,0,
2020-03-28,Delhi,49,0,0,0,
2020-03-29,Delhi,72,6,2,0,
2020-03-30,Delhi,97,6,2,0,
2020-03-31,Delhi,120,6,2,0,
2020-04-01,Delhi,152,6,2,0,2621
2020-04-02,Delhi,293,8,4,0,2621
2020-04-03,Delhi,386,8,6,0,2621
2020-04-04,Delhi,445,16,6,0,2621
2020-04-05,Delhi,503,16,7,0,2621
2020-04-06,Delhi,525,16,7,0,2621
2020-04-07,Delhi,576,20,9,0,9041
2020-04-08,Delhi,669,21,9,0,9041
2020-04-09,Delhi,720,25,12,0,9968
2020-04-10,Delhi,903,27,14,0,11061
2020-04-11,Delhi,1069,27,19,0,11709
2020-04-12,Delhi,1154,28,24,0,14036
2020-04-13,Delhi,1510,31,28,0,15032
2020-04-14,Delhi,1561,31,30,0,16282
2020-04-15,Delhi,1578,41,32,0,16605
2020-04-16,Delhi,1640,52,38,0,18784
2020-04-17,Delhi,1707,72,42,0,21409
2020-04-18,Delhi,1893,207,43,0,22283
2020-04-19,Delhi,2003,290,45,0,24387
2020-04-20,Delhi,2081,431,47,0,25900
2020-04-21,Delhi,2156,611,47,0,26627
2020-04-22,Delhi,2248,724,48,0,28309
2020-04-23,Delhi,2376,808,50,0,30560
2020-04-24,Delhi,2514,857,53,0,33672
2020-04-25,Delhi,2625,869,54,0,35519
2020-04-26,Delhi,2918,877,54,0,37613
2020-04-27,Delhi,3108,877,54,0,39911
2020-04-28,Delhi,3314,1078,54,0,43370
2020-04-29,Delhi,3439,1092,56,0,47225
2020-04-30,Delhi,3515,1094,59,0,47225
2020-05-01,Delhi,3738,1167,61,0,47225
2020-05-02,Delhi,4122,1256,64,0,58210
2020-05-03,Delhi,4549,1362,64,0,60246
2020-05-04,Delhi,4898,1431,64,0,64108
2020-05-05,Delhi,5104,1468,64,0,67852
2020-05-06,Delhi,5532,1542,65,0,71934
2020-05-07,Delhi,5980,1931,66,0,77234
2020-05-08,Delhi,6318,2020,68,0,81367
2020-05-09,Delhi,6542,2020,68,0,84226
2020-05-10,Delhi,6923,2069,73,0,93810
2020-05-11,Delhi,7233,2129,73,0,97678
2020-05-12,Delhi,7639,2512,86,0,106109
2020-05-13,Delhi,7998,2858,106,0,113345
2020-05-14,Delhi,8470,3045,115,0,119736
2020-05-15,Delhi,8895,3518,123,0,125189
2020-05-16,Delhi,9333,3926,129,0,130845
2020-05-17,Delhi,9755,4202,148,0,135791
2020-05-18,Delhi,10054,4485,160,0,139727
2020-05-19,Delhi,10554,4750,166,0,145854
2020-05-20,Delhi,11088,5192,176,0,150282
2020-05-21,Delhi,11659,5567,194,0,154385
