Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-03-17,Puducherry,1,0,0,0,
2020-03-18,Puducherry,1,0,0,0,
2020-03-19,Puducherry,1,0,0,0,
2020-03-20,Puducherry,1,0,0,0,
2020-03-21,Puducherry,1,0,0,0,
2020-03-22,Puducherry,1,0,0,0,
2020-03-23,Puducherry,1,0,0,0,
2020-03-24,Puducherry,1,0,0,0,
2020-03-25,Puducherry,1,0,0,0,
2020-03-26,Puducherry,1,0,0,0,
2020-03-27,Puducherry,1,0,0,0,
2020-03-28,Puducherry,1,0,0,0,
2020-03-29,Puducherry,1,0,0,0,
2020-03-30,Puducherry,1,0,0,0,
2020-03-31,Puducherry,1,0,0,0,
2020-04-01,Puducherry,3,0,0,0,
2020-04-02,Puducherry,5,0,0,0,
2020-04-03,Puducherry,5,0,0,0,
2020-04-04,Puducherry,5,0,0,0,
2020-04-05,Puducherry,5,0,0,0,
2020-04-06,Puducherry,5,0,0,0,
2020-04-07,Puducherry,5,1,0,0,
2020-04-08,Puducherry,5,1,0,0,
2020-04-09,Puducherry,5,1,0,0,
2020-04-10,Puducherry,7,1,0,0,
2020-04-11,Puducherry,7,1,0,0,
2020-04-12,Puducherry,7,1,0,0,
2020-04-13,Puducherry,7,1,0,0,
2020-04-14,Puducherry,7,1,0,0,
2020-04-15,Puducherry,7,1,0,0,
2020-04-16,Puducherry,7,1,0,0,
2020-04-17,Puducherry,7,1,0,0,
2020-04-18,Puducherry,7,4,0,0,1207
2020-04-19,Puducherry,7,4,0,0,1245
2020-04-20,Puducherry,7,4,0,0,1272
2020-04-21,Puducherry,7,4,0,0,1319
2020-04-22,Puducherry,7,4,0,0,1473
2020-04-23,Puducherry,7,4,0,0,1548
2020-04-24,Puducherry,7,4,0,0,1704
2020-04-25,Puducherry,8,4,0,0,1864
2020-04-26,Puducherry,8,4,0,0,1977
2020-04-27,Puducherry,8,5,0,0,2014
2020-04-28,Puducherry,8,5,0,0,2156
2020-04-29,Puducherry,8,5,0,0,2228
2020-04-30,Puducherry,8,5,0,0,2353
2020-05-01,Puducherry,8,5,0,0,2698
2020-05-02,Puducherry,9,5,0,0,2990
2020-05-03,Puducherry,9,6,0,0,3155
2020-05-04,Puducherry,9,6,0,0,3281
2020-05-05,Puducherry,9,6,0,0,3560
2020-05-06,Puducherry,9,6,0,0,3641
2020-05-07,Puducherry,9,6,0,0,3866
2020-05-08,Puducherry,10,8,0,0,4111
2020-05-09,Puducherry,10,8,0,0,4266
2020-05-10,Puducherry,12,9,0,0,4364
