Date,State,Confirmed,Recovered,Deceased,Other,Tested
2020-03-07,Ladakh,2,0,0,0,
2020-03-08,Ladakh,2,0,0,0,
2020-03-09,Ladakh,2,0,0,0,
2020-03-10,Ladakh,2,0,0,0,
2020-03-11,Ladakh,3,0,0,0,
2020-03-12,Ladakh,3,0,0,0,
2020-03-13,Ladakh,3,0,0,0,
2020-03-14,Ladakh,3,0,0,0,
2020-03-15,Ladakh,3,0,0,0,
2020-03-16,Ladakh,3,0,0,0,
2020-03-17,Ladakh,8,0,0,0,
2020-03-18,Ladakh,8,0,0,0,
2020-03-19,Ladakh,8,0,0,0,
2020-03-20,Ladakh,10,0,0,0,
2020-03-21,Ladakh,13,0,0,0,
2020-03-22,Ladakh,13,0,0,0,
2020-03-23,Ladakh,13,0,0,0,
2020-03-24,Ladakh,13,0,0,0,
2020-03-25,Ladakh,13,0,0,0,
2020-03-26,Ladakh,13,0,0,0,
2020-03-27,Ladakh,13,0,0,0,
2020-03-28,Ladakh,13,0,0,0,
2020-03-29,Ladakh,13,3,0,0,
2020-03-30,Ladakh,13,3,0,0,
2020-03-31,Ladakh,13,3,0,0,
2020-04-01,Ladakh,13,3,0,0,
2020-04-02,Ladakh,13,3,0,0,
2020-04-03,Ladakh,14,3,0,0,
2020-04-04,Ladakh,14,3,0,0,
2020-04-05,Ladakh,14,3,0,0,
2020-04-06,Ladakh,14,10,0,0,
2020-04-07,Ladakh,14,10,0,0,
2020-04-08,Ladakh,14,10,0,0,
2020-04-09,Ladakh,14,10,0,0,
2020-04-10,Ladakh,15,11,0,0,
2020-04-11,Ladakh,15,11,0,0,
2020-04-12,Ladakh,15,11,0,0,
2020-04-13,Ladakh,17,12,0,0,618
2020-04-14,Ladakh,17,12,0,0,760
2020-04-15,Ladakh,18,12,0,0,820
2020-04-16,Ladakh,18,14,0,0,917
2020-04-17,Ladakh,18,14,0,0,917
2020-04-18,Ladakh,18,14,0,0,917
2020-04-19,Ladakh,18,14,0,0,991
2020-04-20,Ladakh,18,14,0,0,991
2020-04-21,Ladakh,18,14,0,0,1137
2020-04-22,Ladakh,18,14,0,0,1137
2020-04-23,Ladakh,18,16,0,0,1137
2020-04-24,Ladakh,18,16,0,0,1137
2020-04-25,Ladakh,20,16,0,0,1137
2020-04-26,Ladakh,20,16,0,0,1137
2020-04-27,Ladakh,20,16,0,0,1137
2020-04-28,Ladakh,22,16,0,0,1137
2020-04-29,Ladakh,22,17,0,0,1949
2020-04-30,Ladakh,22,17,0,0,2245
2020-05-01,Ladakh,22,17,0,0,2430
2020-05-02,Ladakh,23,17,0,0,2434
2020-05-03,Ladakh,42,17,0,0,2434
2020-05-04,Ladakh,42,17,0,0,2639
2020-05-05,Ladakh,42,17,0,0,2639
2020-05-06,Ladakh,42,17,0,0,2639
2020-05-07,Ladakh,42,17,0,0,2639
2020-05-08,Ladakh,42,18,0,0,2639
2020-05-09,Ladakh,42,18,0,0,3503
2020-05-10,Ladakh,42,21,0,0,3503
2020-05-11,Ladakh,42,22,0,0,3503
2020-05-12,Ladakh,42,22,0,0,3503
2020-05-13,Ladakh,43,22,0,0,3683
2020-05-14,Ladakh,43,22,0,0,3683
2020-05-15,Ladakh,43,24,0,0,3683
2020-05-16,Ladakh,43,24,0,0,4067
2020-05-17,Ladakh,43,24,0,0,4067
2020-05-18,Ladakh,43,43,0,0,4219
2020-05-19,Ladakh,43,43,0,0,4730
2020-05-20,Ladakh,44,43,0,0,4730
2020-05-21,Ladakh,44,43,0,0,5291
2020-05-22,Ladakh,46,43,0,0,5505
2020-05-23,Ladakh,49,43,0,0,5727
2020-05-24,Ladakh,52,43,0,0,5730
2020-05-25,Ladakh,53,43,0,0,5896
2020-05-26,Ladakh,53,43,0,0,5896
2020-05-27,Ladakh,54,43,0,0,5896
2020-05-28,Ladakh,74,43,0,0,5896
2020-05-29,Ladakh,74,43,0,0,5896
2020-05-30,Ladakh,77,43,0,0,7354
2020-05-31,Ladakh,77,47,0,0,7354
2020-06-01,Ladakh,77,47,0,0,7354
2020-06-02,Ladakh,81,47,1,0,8310
2020-06-03,Ladakh,90,48,1,0,8310
2020-06-04,Ladakh,94,48,1,0,8310
2020-06-05,Ladakh,97,48,1,0,9754
2020-06-06,Ladakh,99,50,1,0,10164
2020-06-07,Ladakh,103,50,1,0,10164
2020-06-08,Ladakh,103,50,1,0,10164
2020-06-09,Ladakh,108,50,1,0,10249
2020-06-10,Ladakh,115,50,1,0,10249
2020-06-11,Ladakh,135,54,1,0,10855
2020-06-12,Ladakh,239,58,1,0,10986
2020-06-13,Ladakh,437,68,1,0,11135
2020-06-14,Ladakh,549,80,1,0,11135
2020-06-15,Ladakh,555,82,1,0,11260
2020-06-16,Ladakh,649,85,1,0,11537
2020-06-17,Ladakh,687,92,1,0,11626
2020-06-18,Ladakh,687,95,1,0,12082
2020-06-19,Ladakh,744,95,1,0,12516
2020-06-20,Ladakh,836,117,1,0,12838
